Districts,Rice,Jowar,Maize,Red gram,Green gram,Black gram,Bengal gram,Groundnut,Sunflower,Chillies,Onions,Sugarcane,Cotton,Horticulture
ADILABAD,843,10841,1100,14429,1434,1734,7804,190,19,56,6,2,116922,12662
BHADRADRI,40023,170,13314,816,2618,929,16,2251,0,5075,0,625,50606,41238
HYDERABAD, -, -, -, -, -, -, -, -, -, -, -, -, -,0
JAGTIAL ,35559,45,27049,1343,2755,951,151,1289,0,889,0,1128,11473,35772
JANGAON ,35872,791,28530,3902,4120,119,119,6253,1,1231,66,0,63878,17104.63
JAYASHANKAR ,62697,329,7208,149,2702,875,161,1225,0,13287,4,0,70915,21073
JOGULAMBA ,62601,5272,36665,19306,205,891,20335,37872,548,9285,5132,2247,53146,21359
KAMAREDDY ,48076,6985,35458,2913,5580,3904,5181,258,1149,165,473,10048,13343,3303
KARIMNAGAR ,65485,0,32690,613,893,0,0,279,0,107,0,0,54557,11727
KHAMMAM ,95877,283,14553,953,6639,994,2,1791,57,16838,4,9965,103075,61013
KOMARAM BHEEM ,8301,3417,1250,6413,985,131,1517,29,44,422,109,0,28271,4351
MAHABUBABAD,25467,1403,24813,2199,15263,643,322,8896,14,11015,32,4,38953,40263
MAHABUBNAGAR,63180,13412,39687,73424,4632,577,567,26725,1535,157,701,816,71108,31883
MANCHERIAL ,25831,1021,3553,2262,1775,110,388,293,324,721,37,0,50200,23513
MEDAK ,46876,1910,31744,2561,2306,1038,1242,139,1392,23,733,0,16606,12430
MEDCHAL,5012,33,1123,86,0,0,107,0,8,0,2,0,110,2990
NAGARKURNOOL ,12752,2685,67304,5126,0,0,224,19158,53,346,28,42,83274,21451
NALGONDA ,212730,2162,2540,21831,21873,941,226,11770,12,5286,0,1574,341655,57348
NIRMAL ,15333,1782,16965,5473,1515,1172,2835,470,91,1421,316,2,21897,10932
NIZAMABAD ,121196,877,22196,467,1072,929,2790,625,5678,871,1805,1549,2452,20043
PEDDAPALLI ,65705,0,19606,350,1048,0,0,386,0,307,0,0,38398,3508
RAJANNA ,45445,7,4210,391,943,0,0,270,0,161,0,133,50486,5651
RANGAREDDY ,27840,4621,57136,4665,3,0,1721,1923,526,140,472,438,66477,52350
SANGAREDDY ,17631,12370,19885,19215,21427,11724,9276,184,307,268,2879,0,81982,30417
SIDDIPET ,40231,44,81717,4760,873,126,1464,1360,4134,107,409,218,74972,27625.042
SURYAPET ,130359,987,809,6872,8125,203,0,8675,0,2970,0,1305,37943,11851
VIKARABAD ,17788,6660,29081,43428,6207,3883,2885,7216,116,415,1449,1997,43129,28424
WANAPARTHY ,62601,5272,36665,19306,205,891,20335,37872,548,9285,5132,2247,53146,14078
WARANGAL (R) ,43731,142,25621,506,622,91,300,5756,2,5182,150,0,74115,23038
WARANGAL (U),12934,0,13410,341,213,77,97,859,0,337,26,0,34932,7104
YADADRI ,52001,756,2702,3660,410,90,77,138,48,155,0,34,53203,9826
