DDate,AmcCode,AmcName,YardCode,YardName,CommCode,CommName,VarityCode,VarityName,ProgArrivals,Arrivals,Minimum,Maximum,Model,Valuation,MarketFee
2025-11-01 00:00:00+05:30,323,Gaddiannaram,2,L.B Nagar,98,Cabbage,98,Common,0.0,100.0,1000.0,2000.0,1500.0,0.0,0.0
2025-11-01 00:00:00+05:30,324,Bowenpally,3,Bowenpally,55,Onions,55,Common,0.0,1147.0,800.0,2000.0,1700.0,0.0,0.0
2025-11-01 00:00:00+05:30,325,Hyderabad,6,Madannapeta,98,Cabbage,98,Common,0.0,40.0,1200.0,1800.0,1600.0,0.0,0.0
2025-11-01 00:00:00+05:30,325,Hyderabad,7,Meeralamandi,98,Cabbage,98,Common,0.0,5.0,1500.0,2000.0,1750.0,0.0,0.0
2025-11-01 00:00:00+05:30,279,Thirumalagiri,9,Tirmalagiri,1,Paddy,237,Grade-A(IR64),0.0,1788.0,1786.0,1936.0,1856.0,0.0,0.0
2025-11-01 00:00:00+05:30,316,Narsingi,49,Babbuguda,168,Cattle(All),168,Common,0.0,55.0,5000.0,20000.0,15000.0,0.0,0.0
2025-11-01 00:00:00+05:30,278,Suryapet,1091,Suryapet,1,Paddy,195,Grade-A,0.0,205.0,1709.0,2208.0,2187.0,0.0,0.0
2025-11-01 00:00:00+05:30,277,Nidmanoor,1095,Nidamanoor,1,Paddy,238,Grade-A (BPT),0.0,50.0,2389.0,2369.0,2389.0,0.0,0.0
2025-11-01 00:00:00+05:30,277,Nidmanoor,1095,Nidamanoor,1,Paddy,238,Grade-A (BPT),0.0,50.0,2369.0,2389.0,2389.0,0.0,0.0
2025-11-01 00:00:00+05:30,219,Jagtial,1125,Jagtial,1,Paddy,238,Grade-A (BPT),0.0,29.0,2021.0,2031.0,2021.0,0.0,0.0
2025-11-01 00:00:00+05:30,231,Vemulawada,1126,Vemulawada,1,Paddy,237,Grade-A(IR64),0.0,83.0,2369.0,2389.0,2369.0,0.0,0.0
2025-11-01 00:00:00+05:30,306,Mahbubnagar,1326,Mahaboobnagar,1,Paddy,271,Common (Hamsa),0.0,6.0,2589.0,2589.0,2589.0,0.0,0.0
2025-11-01 00:00:00+05:30,300,Badepally,1327,Badepally,1,Paddy,1,Common,0.0,9.0,1889.0,1889.0,1889.0,0.0,0.0
2025-11-01 00:00:00+05:30,367,Gudimalkapur,1571,Gudumalkapur,55,Onions,55,Common,0.0,1706.0,500.0,2000.0,1400.0,0.0,0.0
2025-11-01 00:00:00+05:30,309,Narayanpet,1342,Narayanpet,1,Paddy,271,Common (Hamsa),0.0,73.2,1800.0,2639.0,2280.0,0.0,0.0
2025-11-01 00:00:00+05:30,301,Devarakadra,1352,Devarakadra,1,Paddy,271,Common (Hamsa),0.0,75.0,1709.0,1739.0,1724.0,0.0,0.0
2025-11-01 00:00:00+05:30,346,Rudrangi,1583,Rudrangi,1,Paddy,195,Grade-A,0.0,83.0,2369.0,2389.0,2389.0,0.0,0.0
2025-11-02 00:00:00+05:30,323,Gaddiannaram,2,L.B Nagar,98,Cabbage,98,Common,0.0,77.0,1000.0,2000.0,1500.0,0.0,0.0
2025-11-02 00:00:00+05:30,325,Hyderabad,6,Madannapeta,98,Cabbage,98,Common,0.0,27.0,1200.0,2000.0,1600.0,0.0,0.0
2025-11-02 00:00:00+05:30,316,Narsingi,49,Babbuguda,168,Cattle(All),168,Common,0.0,236.0,20000.0,50000.0,40000.0,0.0,0.0
2025-11-02 00:00:00+05:30,325,Hyderabad,7,Meeralamandi,98,Cabbage,98,Common,0.0,9.0,1200.0,1500.0,1350.0,0.0,0.0
2025-11-02 00:00:00+05:30,324,Bowenpally,3,Bowenpally,55,Onions,55,Common,0.0,716.0,500.0,1800.0,1400.0,0.0,0.0
2025-11-02 00:00:00+05:30,259,Nelakondapally,1071,Nelakondapally,1,Paddy,1,Common,0.0,2300.0,2300.0,2389.0,2320.0,0.0,0.0
2025-11-02 00:00:00+05:30,277,Nidmanoor,1095,Nidamanoor,1,Paddy,238,Grade-A (BPT),0.0,50.0,2389.0,2369.0,2389.0,0.0,0.0
2025-11-02 00:00:00+05:30,367,Gudimalkapur,1571,Gudumalkapur,55,Onions,55,Common,0.0,2293.0,400.0,2000.0,1200.0,0.0,0.0
2025-11-02 00:00:00+05:30,231,Vemulawada,1126,Vemulawada,1,Paddy,237,Grade-A(IR64),0.0,630.0,2369.0,2389.0,2389.0,0.0,0.0
2025-11-02 00:00:00+05:30,329,Navabpet(MBNR),1483,Navabpet,1,Paddy,271,Common (Hamsa),0.0,16.0,1806.0,1806.0,1806.0,0.0,0.0
2025-11-03 00:00:00+05:30,323,Gaddiannaram,2,L.B Nagar,98,Cabbage,98,Common,0.0,95.0,1000.0,1500.0,1200.0,0.0,0.0
2025-11-03 00:00:00+05:30,324,Bowenpally,3,Bowenpally,55,Onions,55,Common,0.0,119.0,500.0,1000.0,800.0,0.0,0.0
2025-11-03 00:00:00+05:30,325,Hyderabad,6,Madannapeta,98,Cabbage,98,Common,0.0,40.0,1200.0,2000.0,1600.0,0.0,0.0
2025-11-03 00:00:00+05:30,325,Hyderabad,7,Meeralamandi,98,Cabbage,98,Common,0.0,5.0,1500.0,2000.0,1750.0,0.0,0.0
2025-11-02 00:00:00+05:30,346,Rudrangi,1583,Rudrangi,1,Paddy,195,Grade-A,0.0,83.0,2369.0,2389.0,2389.0,0.0,0.0
2025-11-03 00:00:00+05:30,279,Thirumalagiri,9,Tirmalagiri,1,Paddy,237,Grade-A(IR64),0.0,3661.0,1716.0,1936.0,1889.0,0.0,0.0
2025-11-03 00:00:00+05:30,259,Nelakondapally,1071,Nelakondapally,1,Paddy,1,Common,0.0,1778.0,2280.0,2389.0,2320.0,0.0,0.0
2025-11-03 00:00:00+05:30,278,Suryapet,1091,Suryapet,1,Paddy,195,Grade-A,0.0,552.0,1869.0,2402.0,2239.0,0.0,0.0
2025-11-03 00:00:00+05:30,277,Nidmanoor,1095,Nidamanoor,1,Paddy,238,Grade-A (BPT),0.0,50.0,2389.0,2369.0,2389.0,0.0,0.0
2025-11-03 00:00:00+05:30,219,Jagtial,1125,Jagtial,1,Paddy,238,Grade-A (BPT),0.0,39.0,1900.0,2032.0,2032.0,0.0,0.0
2025-11-03 00:00:00+05:30,231,Vemulawada,1126,Vemulawada,1,Paddy,237,Grade-A(IR64),0.0,383.0,2369.0,2389.0,2389.0,0.0,0.0
2025-11-03 00:00:00+05:30,306,Mahbubnagar,1326,Mahaboobnagar,1,Paddy,271,Common (Hamsa),0.0,14.0,2090.0,2800.0,2800.0,0.0,0.0
2025-11-03 00:00:00+05:30,310,Shadnagar,1330,Shadnagar,1,Paddy,1,Common,0.0,181.0,2109.0,2189.0,2189.0,0.0,0.0
2025-11-03 00:00:00+05:30,367,Gudimalkapur,1571,Gudumalkapur,55,Onions,55,Common,0.0,829.0,500.0,2300.0,1400.0,0.0,0.0
2025-11-03 00:00:00+05:30,309,Narayanpet,1342,Narayanpet,1,Paddy,271,Common (Hamsa),0.0,274.2,1800.0,2679.0,1800.0,0.0,0.0
2025-11-03 00:00:00+05:30,301,Devarakadra,1352,Devarakadra,1,Paddy,271,Common (Hamsa),0.0,192.0,1729.0,1750.0,1740.0,0.0,0.0
2025-11-03 00:00:00+05:30,346,Rudrangi,1583,Rudrangi,1,Paddy,195,Grade-A,0.0,249.0,2369.0,2389.0,2389.0,0.0,0.0
2025-11-04 00:00:00+05:30,324,Bowenpally,3,Bowenpally,55,Onions,55,Common,0.0,832.0,500.0,1800.0,1400.0,0.0,0.0
2025-11-04 00:00:00+05:30,323,Gaddiannaram,2,L.B Nagar,98,Cabbage,98,Common,0.0,107.0,1000.0,1500.0,1200.0,0.0,0.0
2025-11-04 00:00:00+05:30,325,Hyderabad,6,Madannapeta,98,Cabbage,98,Common,0.0,32.0,1200.0,1500.0,1350.0,0.0,0.0
2025-11-04 00:00:00+05:30,325,Hyderabad,7,Meeralamandi,98,Cabbage,98,Common,0.0,5.0,1500.0,2000.0,1750.0,0.0,0.0
2025-11-04 00:00:00+05:30,279,Thirumalagiri,9,Tirmalagiri,1,Paddy,237,Grade-A(IR64),0.0,1951.0,1730.0,1939.0,1889.0,0.0,0.0
2025-11-04 00:00:00+05:30,259,Nelakondapally,1071,Nelakondapally,1,Paddy,1,Common,0.0,3754.0,2280.0,2320.0,2300.0,0.0,0.0
2025-11-04 00:00:00+05:30,278,Suryapet,1091,Suryapet,1,Paddy,195,Grade-A,0.0,435.0,2205.0,2301.0,2209.0,0.0,0.0
2025-11-04 00:00:00+05:30,219,Jagtial,1125,Jagtial,1,Paddy,238,Grade-A (BPT),0.0,104.0,2000.0,2040.0,2040.0,0.0,0.0
2025-11-04 00:00:00+05:30,231,Vemulawada,1126,Vemulawada,1,Paddy,237,Grade-A(IR64),0.0,928.0,2369.0,2389.0,2389.0,0.0,0.0
2025-11-04 00:00:00+05:30,309,Narayanpet,1342,Narayanpet,1,Paddy,271,Common (Hamsa),0.0,47.4,2180.0,2669.0,2369.0,0.0,0.0
2025-11-04 00:00:00+05:30,367,Gudimalkapur,1571,Gudumalkapur,55,Onions,55,Common,0.0,1772.0,500.0,2200.0,1400.0,0.0,0.0
2025-11-05 00:00:00+05:30,323,Gaddiannaram,2,L.B Nagar,98,Cabbage,98,Common,0.0,95.0,1000.0,1500.0,1200.0,0.0,0.0
2025-11-05 00:00:00+05:30,324,Bowenpally,3,Bowenpally,55,Onions,55,Common,0.0,924.0,500.0,1800.0,1400.0,0.0,0.0
2025-11-05 00:00:00+05:30,325,Hyderabad,6,Madannapeta,98,Cabbage,98,Common,0.0,20.0,1000.0,1200.0,1100.0,0.0,0.0
2025-11-05 00:00:00+05:30,325,Hyderabad,7,Meeralamandi,98,Cabbage,98,Common,0.0,6.0,1500.0,1500.0,1500.0,0.0,0.0
2025-11-04 00:00:00+05:30,301,Devarakadra,1352,Devarakadra,1,Paddy,271,Common (Hamsa),0.0,114.0,1769.0,1980.0,1875.0,0.0,0.0
2025-11-05 00:00:00+05:30,231,Vemulawada,1126,Vemulawada,1,Paddy,237,Grade-A(IR64),0.0,483.0,2369.0,2389.0,2389.0,0.0,0.0
2025-11-05 00:00:00+05:30,367,Gudimalkapur,1571,Gudumalkapur,55,Onions,55,Common,0.0,1499.0,500.0,2000.0,1500.0,0.0,0.0
2025-11-06 00:00:00+05:30,324,Bowenpally,3,Bowenpally,55,Onions,55,Common,0.0,835.0,500.0,1500.0,1200.0,0.0,0.0
2025-11-06 00:00:00+05:30,323,Gaddiannaram,2,L.B Nagar,98,Cabbage,98,Common,0.0,74.0,1000.0,1500.0,1200.0,0.0,0.0
2025-11-06 00:00:00+05:30,325,Hyderabad,6,Madannapeta,98,Cabbage,98,Common,0.0,30.0,1400.0,1600.0,1500.0,0.0,0.0
2025-11-06 00:00:00+05:30,325,Hyderabad,7,Meeralamandi,98,Cabbage,98,Common,0.0,5.0,1500.0,1500.0,1500.0,0.0,0.0
2025-11-05 00:00:00+05:30,346,Rudrangi,1583,Rudrangi,1,Paddy,195,Grade-A,0.0,166.0,2369.0,2389.0,2389.0,0.0,0.0
2025-11-06 00:00:00+05:30,279,Thirumalagiri,9,Tirmalagiri,1,Paddy,237,Grade-A(IR64),0.0,2262.0,1818.0,1956.0,1900.0,0.0,0.0
2025-11-06 00:00:00+05:30,259,Nelakondapally,1071,Nelakondapally,1,Paddy,1,Common,0.0,2402.0,2280.0,2320.0,2300.0,0.0,0.0
2025-11-06 00:00:00+05:30,278,Suryapet,1091,Suryapet,1,Paddy,195,Grade-A,0.0,669.0,1519.0,2259.0,2229.0,0.0,0.0
2025-11-06 00:00:00+05:30,219,Jagtial,1125,Jagtial,1,Paddy,238,Grade-A (BPT),0.0,143.0,1910.0,2061.0,1915.0,0.0,0.0
2025-11-06 00:00:00+05:30,231,Vemulawada,1126,Vemulawada,1,Paddy,237,Grade-A(IR64),0.0,83.0,2369.0,2389.0,2389.0,0.0,0.0
2025-11-06 00:00:00+05:30,306,Mahbubnagar,1326,Mahaboobnagar,1,Paddy,271,Common (Hamsa),0.0,23.0,2212.0,2866.0,2866.0,0.0,0.0
2025-11-06 00:00:00+05:30,310,Shadnagar,1330,Shadnagar,1,Paddy,1,Common,0.0,166.14,1818.0,2109.0,2089.0,0.0,0.0
2025-11-06 00:00:00+05:30,367,Gudimalkapur,1571,Gudumalkapur,55,Onions,55,Common,0.0,1877.0,500.0,2300.0,1400.0,0.0,0.0
2025-11-06 00:00:00+05:30,346,Rudrangi,1583,Rudrangi,1,Paddy,195,Grade-A,0.0,166.0,2369.0,2389.0,2389.0,0.0,0.0
2025-11-06 00:00:00+05:30,304,Kollapur,1601,Kollapur,1,Paddy,1,Common,0.0,100.0,3000.0,3000.0,3000.0,0.0,0.0
2025-11-07 00:00:00+05:30,323,Gaddiannaram,2,L.B Nagar,98,Cabbage,98,Common,0.0,108.0,1000.0,1500.0,1200.0,0.0,0.0
2025-11-07 00:00:00+05:30,324,Bowenpally,3,Bowenpally,55,Onions,55,Common,0.0,1134.0,500.0,1600.0,1200.0,0.0,0.0
2025-11-06 00:00:00+05:30,309,Narayanpet,1342,Narayanpet,1,Paddy,271,Common (Hamsa),0.0,235.2,1820.0,2709.0,2709.0,0.0,0.0
2025-11-07 00:00:00+05:30,325,Hyderabad,6,Madannapeta,98,Cabbage,98,Common,0.0,30.0,1200.0,1800.0,1500.0,0.0,0.0
2025-11-07 00:00:00+05:30,325,Hyderabad,7,Meeralamandi,98,Cabbage,98,Common,0.0,4.0,1500.0,1600.0,1550.0,0.0,0.0
2025-11-06 00:00:00+05:30,301,Devarakadra,1352,Devarakadra,1,Paddy,271,Common (Hamsa),0.0,337.0,1720.0,1759.0,1740.0,0.0,0.0
2025-11-06 00:00:00+05:30,329,Navabpet(MBNR),1483,Navabpet,1,Paddy,271,Common (Hamsa),0.0,5.0,2040.0,2040.0,2040.0,0.0,0.0
2025-11-07 00:00:00+05:30,279,Thirumalagiri,9,Tirmalagiri,1,Paddy,237,Grade-A(IR64),0.0,2332.0,1772.0,1982.0,1852.0,0.0,0.0
2025-11-07 00:00:00+05:30,278,Suryapet,1091,Suryapet,1,Paddy,195,Grade-A,0.0,393.0,1659.0,2259.0,2189.0,0.0,0.0
2025-11-07 00:00:00+05:30,259,Nelakondapally,1071,Nelakondapally,1,Paddy,1,Common,0.0,884.0,2280.0,2320.0,2300.0,0.0,0.0
2025-11-07 00:00:00+05:30,277,Nidmanoor,1095,Nidamanoor,1,Paddy,238,Grade-A (BPT),0.0,50.0,2389.0,2369.0,2389.0,0.0,0.0
2025-11-07 00:00:00+05:30,219,Jagtial,1125,Jagtial,1,Paddy,238,Grade-A (BPT),0.0,59.0,1900.0,2051.0,2051.0,0.0,0.0
2025-11-07 00:00:00+05:30,231,Vemulawada,1126,Vemulawada,1,Paddy,237,Grade-A(IR64),0.0,83.0,2369.0,2389.0,2389.0,0.0,0.0
2025-11-07 00:00:00+05:30,306,Mahbubnagar,1326,Mahaboobnagar,1,Paddy,271,Common (Hamsa),0.0,47.0,2290.0,2890.0,2500.0,0.0,0.0
2025-11-07 00:00:00+05:30,310,Shadnagar,1330,Shadnagar,1,Paddy,1,Common,0.0,176.28,2089.0,2129.0,2121.0,0.0,0.0
2025-11-07 00:00:00+05:30,309,Narayanpet,1342,Narayanpet,1,Paddy,271,Common (Hamsa),0.0,251.4,1400.0,2683.0,2656.0,0.0,0.0
2025-11-07 00:00:00+05:30,367,Gudimalkapur,1571,Gudumalkapur,55,Onions,55,Common,0.0,1741.0,500.0,2100.0,1300.0,0.0,0.0
2025-11-08 00:00:00+05:30,324,Bowenpally,3,Bowenpally,55,Onions,55,Common,0.0,677.0,500.0,1500.0,1200.0,0.0,0.0
2025-11-08 00:00:00+05:30,323,Gaddiannaram,2,L.B Nagar,98,Cabbage,98,Common,0.0,106.0,1000.0,1500.0,1200.0,0.0,0.0
2025-11-08 00:00:00+05:30,325,Hyderabad,6,Madannapeta,98,Cabbage,98,Common,0.0,30.0,1400.0,2000.0,1800.0,0.0,0.0
2025-11-08 00:00:00+05:30,325,Hyderabad,7,Meeralamandi,98,Cabbage,98,Common,0.0,5.0,1500.0,2000.0,1750.0,0.0,0.0
2025-11-07 00:00:00+05:30,301,Devarakadra,1352,Devarakadra,1,Paddy,271,Common (Hamsa),0.0,146.0,1759.0,1769.0,1764.0,0.0,0.0
2025-11-08 00:00:00+05:30,279,Thirumalagiri,9,Tirmalagiri,1,Paddy,237,Grade-A(IR64),0.0,2241.0,1703.0,1996.0,1919.0,0.0,0.0
2025-11-08 00:00:00+05:30,219,Jagtial,1125,Jagtial,1,Paddy,238,Grade-A (BPT),0.0,101.0,1980.0,2041.0,2020.0,0.0,0.0
2025-11-08 00:00:00+05:30,277,Nidmanoor,1095,Nidamanoor,1,Paddy,238,Grade-A (BPT),0.0,50.0,2389.0,2369.0,2389.0,0.0,0.0
2025-11-08 00:00:00+05:30,231,Vemulawada,1126,Vemulawada,1,Paddy,237,Grade-A(IR64),0.0,866.0,2369.0,2389.0,2389.0,0.0,0.0
2025-11-08 00:00:00+05:30,310,Shadnagar,1330,Shadnagar,1,Paddy,1,Common,0.0,330.0,1800.0,2189.0,2169.0,0.0,0.0
2025-11-08 00:00:00+05:30,367,Gudimalkapur,1571,Gudumalkapur,55,Onions,55,Common,0.0,1231.0,500.0,2100.0,1400.0,0.0,0.0
2025-11-08 00:00:00+05:30,304,Kollapur,1601,Kollapur,1,Paddy,1,Common,0.0,256.3,2300.0,2300.0,2300.0,0.0,0.0
2025-11-09 00:00:00+05:30,324,Bowenpally,3,Bowenpally,55,Onions,55,Common,0.0,1210.0,500.0,1800.0,1500.0,0.0,0.0
2025-11-09 00:00:00+05:30,323,Gaddiannaram,2,L.B Nagar,98,Cabbage,98,Common,0.0,125.0,1000.0,1500.0,1200.0,0.0,0.0
2025-11-09 00:00:00+05:30,325,Hyderabad,6,Madannapeta,98,Cabbage,98,Common,0.0,32.0,1200.0,1500.0,1350.0,0.0,0.0
2025-11-09 00:00:00+05:30,316,Narsingi,49,Babbuguda,168,Cattle(All),168,Common,0.0,226.0,20000.0,50000.0,40000.0,0.0,0.0
2025-11-09 00:00:00+05:30,325,Hyderabad,7,Meeralamandi,98,Cabbage,98,Common,0.0,6.0,1500.0,2000.0,1750.0,0.0,0.0
2025-11-09 00:00:00+05:30,231,Vemulawada,1126,Vemulawada,1,Paddy,237,Grade-A(IR64),0.0,629.0,2369.0,2389.0,2389.0,0.0,0.0
2025-11-09 00:00:00+05:30,367,Gudimalkapur,1571,Gudumalkapur,55,Onions,55,Common,0.0,2272.0,300.0,2100.0,1400.0,0.0,0.0
2025-11-08 00:00:00+05:30,309,Narayanpet,1342,Narayanpet,1,Paddy,271,Common (Hamsa),0.0,256.2,1750.0,2689.0,2629.0,0.0,0.0
2025-11-08 00:00:00+05:30,301,Devarakadra,1352,Devarakadra,1,Paddy,271,Common (Hamsa),0.0,30.0,17539.0,1769.0,1754.0,0.0,0.0
2025-11-10 00:00:00+05:30,323,Gaddiannaram,2,L.B Nagar,98,Cabbage,98,Common,0.0,105.0,1000.0,1500.0,1200.0,0.0,0.0
2025-11-10 00:00:00+05:30,324,Bowenpally,3,Bowenpally,55,Onions,55,Common,0.0,308.0,3000.0,7000.0,6000.0,0.0,0.0
2025-11-10 00:00:00+05:30,325,Hyderabad,6,Madannapeta,98,Cabbage,98,Common,0.0,30.0,1600.0,2000.0,1800.0,0.0,0.0
2025-11-10 00:00:00+05:30,325,Hyderabad,5,Mahabubmansion,54,Chillies(Dry),250,Teja,0.0,56.0,10000.0,15000.0,12000.0,0.0,0.0
2025-11-10 00:00:00+05:30,325,Hyderabad,7,Meeralamandi,98,Cabbage,98,Common,0.0,6.0,1500.0,2000.0,1750.0,0.0,0.0
2025-11-09 00:00:00+05:30,329,Navabpet(MBNR),1483,Navabpet,1,Paddy,271,Common (Hamsa),0.0,111.0,1812.0,2811.0,1812.0,0.0,0.0
2025-11-10 00:00:00+05:30,279,Thirumalagiri,9,Tirmalagiri,1,Paddy,237,Grade-A(IR64),0.0,2580.0,1889.0,2022.0,1989.0,0.0,0.0
2025-11-09 00:00:00+05:30,346,Rudrangi,1583,Rudrangi,1,Paddy,195,Grade-A,0.0,166.0,2369.0,2389.0,2389.0,0.0,0.0
2025-11-10 00:00:00+05:30,278,Suryapet,1091,Suryapet,1,Paddy,195,Grade-A,0.0,1220.0,1519.0,2309.0,2309.0,0.0,0.0
2025-11-10 00:00:00+05:30,219,Jagtial,1125,Jagtial,1,Paddy,238,Grade-A (BPT),0.0,214.0,1930.0,2041.0,1930.0,0.0,0.0
2025-11-10 00:00:00+05:30,277,Nidmanoor,1095,Nidamanoor,1,Paddy,238,Grade-A (BPT),0.0,50.0,2389.0,2369.0,2389.0,0.0,0.0
2025-11-10 00:00:00+05:30,231,Vemulawada,1126,Vemulawada,1,Paddy,237,Grade-A(IR64),0.0,1506.0,2369.0,2389.0,2389.0,0.0,0.0
2025-11-10 00:00:00+05:30,310,Shadnagar,1330,Shadnagar,1,Paddy,1,Common,0.0,885.0,1989.0,2176.0,2169.0,0.0,0.0
2025-11-10 00:00:00+05:30,367,Gudimalkapur,1571,Gudumalkapur,55,Onions,55,Common,0.0,719.0,1000.0,1800.0,1400.0,0.0,0.0
2025-11-11 00:00:00+05:30,324,Bowenpally,3,Bowenpally,55,Onions,55,Common,0.0,748.0,800.0,1700.0,1400.0,0.0,0.0
2025-11-11 00:00:00+05:30,323,Gaddiannaram,2,L.B Nagar,98,Cabbage,98,Common,0.0,101.0,1000.0,1500.0,1200.0,0.0,0.0
2025-11-10 00:00:00+05:30,309,Narayanpet,1342,Narayanpet,1,Paddy,271,Common (Hamsa),0.0,551.4,1750.0,2739.0,2649.0,0.0,0.0
2025-11-11 00:00:00+05:30,325,Hyderabad,6,Madannapeta,98,Cabbage,98,Common,0.0,30.0,1200.0,2000.0,1600.0,0.0,0.0
2025-11-11 00:00:00+05:30,325,Hyderabad,7,Meeralamandi,98,Cabbage,98,Common,0.0,5.0,1500.0,2000.0,1750.0,0.0,0.0
2025-11-10 00:00:00+05:30,301,Devarakadra,1352,Devarakadra,1,Paddy,271,Common (Hamsa),0.0,316.0,1700.0,1769.0,1735.0,0.0,0.0
2025-11-10 00:00:00+05:30,346,Rudrangi,1583,Rudrangi,1,Paddy,195,Grade-A,0.0,249.0,2369.0,2389.0,2389.0,0.0,0.0
2025-11-11 00:00:00+05:30,278,Suryapet,1091,Suryapet,1,Paddy,195,Grade-A,0.0,897.0,1569.0,2322.0,2304.0,0.0,0.0
