district,mandal,village,lat,long,date,value
ADILABAD,Adilabad Urban,Adilabad,78.52,19.67,01/07/23,5.2
ADILABAD,Bazarhathnoor,Bazarhatnur,78.35,19.46,01/07/23,4.5
ADILABAD,Bela,Chandpally,78.85,19.68,01/07/23,7.15
ADILABAD,Bheempoor,Arli,78.38,19.83,01/07/23,3.3
ADILABAD,Bheempoor,Bheempur,78.42,19.77,01/07/23,5.9
ADILABAD,Boath,Boath,78.32,19.34,01/07/23,7.9
ADILABAD,Gudihathnur,Gudihatnoor,78.51,19.53,01/07/23,2.6
ADILABAD,Jainad,Bhoraj,78.55,19.74,01/07/23,1.6
ADILABAD,Jainad,Jainath,78.64,19.73,01/07/23,1.2
ADILABAD,Narnoor,Narnoor,78.85,19.5,01/07/23,0.26
ADILABAD,Neradigonda,Neradigonda,78.41,19.29,01/07/23,2.6
ADILABAD,Talamadugu,Devapur,78.46,19.61,01/07/23,5
ADILABAD,Talamadugu,Talamadugu,78.4,19.63,01/07/23,4.1
ADILABAD,Tamsi,Tamsi,78.43,19.68,01/07/23,3.6
ADILABAD,Utnur,Utnoor,78.77,19.38,01/07/23,1
BHADRADRI,Allapalli,Allapalli,80.48,17.83,01/07/23,7.32
BHADRADRI,Allapalli,Markodu,80.51,17.91,01/07/23,3.89
BHADRADRI,Annapureddipalle,Annapureddypalli,80.83,17.35,01/07/23,12.74
BHADRADRI,Aswapuram,Ammagaripalli,80.85,17.87,01/07/23,
BHADRADRI,Aswapuram,Aswapuram,80.81,17.84,01/07/23,8.34
BHADRADRI,Aswapuram,Aswapuram,80.81,17.87,01/07/23,8.5
BHADRADRI,Aswaraopeta,ASWARAOPET (D),81.11,17.24,01/07/23,25.54
BHADRADRI,Aswaraopeta,Aswaraopet (S),81.11,17.24,01/07/23,27.32
BHADRADRI,Aswaraopeta,Duradapadu,81.09,17.43,01/07/23,5.12
BHADRADRI,Aswaraopeta,Gummadivalli,81.18,17.42,01/07/23,2.28
BHADRADRI,Aswaraopeta,NANDIPADU,81.13,17.46,01/07/23,1.44
BHADRADRI,Aswaraopeta,Vinayakapuram,81.12,17.35,01/07/23,15.18
BHADRADRI,Bhadrachalam,Bhadrachalam,80.9,17.67,01/07/23,
BHADRADRI,Burgampadu,Krishnasagar,80.81,17.71,01/07/23,9.17
BHADRADRI,Burgampadu,M.Banjara,80.79,17.64,01/07/23,9.85
BHADRADRI,Cherla,Cherla,80.83,18.07,01/07/23,6.14
BHADRADRI,Chandrugonda,Maddukuru,80.68,17.36,01/07/23,21.21
BHADRADRI,Chandrugonda,Ravikampadu,80.61,17.4,01/07/23,7.33
BHADRADRI,Cherla,Chinmedisileru,80.85,18.06,01/07/23,4.55
BHADRADRI,Cherla,Chunchupalli,80.61,17.53,01/07/23,
BHADRADRI,Dammapeta,Malkaram,81.07,17.31,01/07/23,12.6
BHADRADRI,Dammapeta,Mandalapalli,81.01,17.24,01/07/23,42.22
BHADRADRI,Dammapeta,Patwarigudem,80.96,17.35,01/07/23,13.22
BHADRADRI,Dummugudem,Bandirevu,80.92,17.92,01/07/23,7.16
BHADRADRI,Dummugudem,Dummugudem,80.89,17.85,01/07/23,2.38
BHADRADRI,Gundala,Gundala,80.33,17.91,01/07/23,
BHADRADRI,Gundala,Kanchanapalli,80.42,17.79,01/07/23,
BHADRADRI,Gundala,Mamakannu,80.41,17.87,01/07/23,5.83
BHADRADRI,Gundala,Sainapalli,80.35,17.96,01/07/23,3.92
BHADRADRI,Gundala,Settupalli,80.35,17.81,01/07/23,1.23
BHADRADRI,Julurpad,P. Narsapuram,80.52,17.44,01/07/23,7.12
BHADRADRI,Julurpad,Papakollu,80.48,17.42,01/07/23,2.18
BHADRADRI,Karakagudem,karakagudem,80.51,18.09,01/07/23,3.14
BHADRADRI,Karakagudem,Karakagudem,80.57,18.03,01/07/23,2.5
BHADRADRI,Kothagudem,Kothagudem,80.62,17.55,01/07/23,27.42
BHADRADRI,Laxmidevipalli,Bangaruchelka,80.6,17.76,01/07/23,
BHADRADRI,Laxmidevipalli,Laxmidevipalli,80.62,17.57,01/07/23,7.2
BHADRADRI,Manuguru,Manuguru,80.83,17.96,01/07/23,4.5
BHADRADRI,Manuguru,Pagideru,80.73,17.97,01/07/23,2.02
BHADRADRI,Mulakalapalle,Mulakalapalli (D),80.83,17.5,01/07/23,8.74
BHADRADRI,Mulakalapalle,MULAKALAPALLI (S),80.85,17.48,01/07/23,6.47
BHADRADRI,Mulakalapalle,N. Jaganadhapuram,80.86,17.43,01/07/23,7.55
BHADRADRI,Mulakalapalle,Pusugudem            (Pakeer thanda),80.76,17.54,01/07/23,1.7
BHADRADRI,Mulakalapalle,Thimmampet,80.93,17.54,01/07/23,6.85
BHADRADRI,Palawancha,Danthalaboru,80.84,17.59,01/07/23,7.12
BHADRADRI,Palawancha,Pathapalwancha,80.69,17.55,01/07/23,6.31
BHADRADRI,Palawancha,REGELLA,80.58,17.95,01/07/23,1.92
BHADRADRI,Palawancha,Ulavanoor,80.68,17.78,01/07/23,2.97
BHADRADRI,Palawancha,Yanmbailu,80.68,17.69,01/07/23,4.31
BHADRADRI,Pinapaka,Dugenepalli,80.65,18.13,01/07/23,
BHADRADRI,Pinapaka,Potlapalli ,80.68,18.04,01/07/23,3.47
BHADRADRI,Sujathanagar,Sarvaram (Gudithanda),80.59,17.53,01/07/23,5.83
BHADRADRI,Sujathanagar,Sujathanagar,80.59,17.49,01/07/23,
BHADRADRI,Tekulapalle,Bethampudi,80.45,17.56,01/07/23,10.21
BHADRADRI,Tekulapalle,Bodu,80.44,17.67,01/07/23,4.88
BHADRADRI,Tekulapalle,Mutyalampadu,80.5,17.54,01/07/23,4.09
BHADRADRI,Tekulapalle,Sulanagar,80.5,17.54,01/07/23,5.2
BHADRADRI,Yellandu,Komararam,80.32,17.71,01/07/23,5.74
BHADRADRI,Yellandu,Narayanapuram D,80.38,17.51,01/07/23,2.01
BHADRADRI,Yellandu,NARAYANAPURAM S,80.38,17.51,01/07/23,2.01
BHADRADRI,Yellandu,Rompedu,80.3,17.65,01/07/23,2.24
BHADRADRI,Yellandu,Sudimalla,80.35,17.59,01/07/23,2.9
BHUPALPALLY,Bhupalpalle,Bhupalpally,79.88,18.44,01/07/23,3.41
BHUPALPALLY,Bhupalpalle,Gudadpally,79.81,18.39,01/07/23,3.17
BHUPALPALLY,Bhupalpalle,Nandigama,80.06,18.5,01/07/23,0.28
BHUPALPALLY,Chityal,Chityala,79.67,18.34,01/07/23,0.73
BHUPALPALLY,Chityal,Jadalpet,79.74,18.38,01/07/23,0.98
BHUPALPALLY,Ghanapur_Mulug,Chelpur(D),79.85,18.37,01/07/23,2.34
BHUPALPALLY,Ghanapur_Mulug,Chelpur(S),79.84,18.38,01/07/23,1.93
BHUPALPALLY,Ghanapur_Mulug,Velthurlapally,79.89,18.3,01/07/23,2.36
BHUPALPALLY,Kataram,Jadaraopet,79.88,18.7,01/07/23,14.26
BHUPALPALLY,Kataram,Medipally,79.92,18.55,01/07/23,11.43
BHUPALPALLY,Kataram,Regulagudem,79.87,18.62,01/07/23,34.26
BHUPALPALLY,Kataram,Shankarampally 125(D),79.9,18.6,01/07/23,10.28
BHUPALPALLY,Kataram,Shankarampally 47,79.89,18.61,01/07/23,11.49
BHUPALPALLY,Mutharam_Mahadevpur,Stambampally,79.99,18.56,01/07/23,0.91
BHUPALPALLY,Mutharam_Mahadevpur,Yatnaram,80.15,18.57,01/07/23,1.28
BHUPALPALLY,Mahadevpur,Ambatipalli,80.06,18.7,01/07/23,13.51
BHUPALPALLY,Mahadevpur,Annaram,79.84,18.76,01/07/23,11.69
BHUPALPALLY,Mahadevpur,Kaleswaram,79.91,18.8,01/07/23,5.41
BHUPALPALLY,Mahadevpur,Mahadevpur -125D,79.98,18.73,01/07/23,6.22
BHUPALPALLY,Mahadevpur,Mahadevpur 199D,79.98,18.73,01/07/23,6.74
BHUPALPALLY,Mahadevpur,Mahadevpur 75NC,79.98,18.72,01/07/23,5.71
BHUPALPALLY,Malharrao,Mallaram,79.79,18.56,01/07/23,1.91
BHUPALPALLY,Mogullapalle,Aknepally,79.61,18.36,01/07/23,6.12
BHUPALPALLY,Mogullapalle,Rangapur,79.69,18.27,01/07/23,2.49
BHUPALPALLY,Palmela,Kamanpally,80.25,18.63,01/07/23,0.63
BHUPALPALLY,Palmela,Lenkalagadda,80.13,18.67,01/07/23,4.39
BHUPALPALLY,Palmela,Sarvaipet,80.24,18.68,01/07/23,5.29
BHUPALPALLY,Regonda,Gorikothapally,79.81,18.18,01/07/23,1.28
BHUPALPALLY,Regonda,Regonda,79.78,18.24,01/07/23,2.38
BHUPALPALLY,Tekumatla,Ramakrishnapuram,79.63,18.42,01/07/23,2.48
HYDERABAD,Ammerpet,"DIRECTOR WOMEN AND CHILD WELFARE, YOUSUFGUDA",78.45,17.45,01/07/23,
HYDERABAD,Ammerpet,S.R.Nagar,78.44,17.44,01/07/23,19.9
HYDERABAD,Ammerpet,"STDC Chest Hospital, Erragadda",78.43,17.45,01/07/23,14.1
HYDERABAD,Asifnagar,"Govt. Polytechnic, Masab Tank.",78.45,17.38,01/07/23,2.35
HYDERABAD,Asifnagar,Himayanagar,78.45,17.4,01/07/23,1.1
HYDERABAD,Asifnagar,Kulsanapur,78.44,17.37,01/07/23,4.4
HYDERABAD,Bandlaguda,Chandraingutta,78.48,17.33,01/07/23,13.02
HYDERABAD,Bandlaguda,Bahadurpura,78.46,17.35,01/07/23,1.53
HYDERABAD,Charminar,Darul Shifa,78.49,17.38,01/07/23,4.22
HYDERABAD,Himayatnagar,"Fever Hospital, Nallakunta",78.48,17.41,01/07/23,4.42
